Start,Finish,Steps (count)
22/01/2022 18:00,22/01/2022 19:00,621
22/01/2022 19:00,22/01/2022 20:00,0
22/01/2022 20:00,22/01/2022 21:00,0
22/01/2022 21:00,22/01/2022 22:00,0
22/01/2022 22:00,22/01/2022 23:00,0
22/01/2022 23:00,23/01/2022 0:00,0
23/01/2022 0:00,23/01/2022 1:00,0
23/01/2022 1:00,23/01/2022 2:00,0
23/01/2022 2:00,23/01/2022 3:00,0
23/01/2022 3:00,23/01/2022 4:00,0
23/01/2022 4:00,23/01/2022 5:00,0
23/01/2022 5:00,23/01/2022 6:00,0
23/01/2022 6:00,23/01/2022 7:00,0
23/01/2022 7:00,23/01/2022 8:00,0
23/01/2022 8:00,23/01/2022 9:00,0
23/01/2022 9:00,23/01/2022 10:00,0
23/01/2022 10:00,23/01/2022 11:00,0
23/01/2022 11:00,23/01/2022 12:00,0
23/01/2022 12:00,23/01/2022 13:00,0
23/01/2022 13:00,23/01/2022 14:00,0
23/01/2022 14:00,23/01/2022 15:00,0
23/01/2022 15:00,23/01/2022 16:00,217
23/01/2022 16:00,23/01/2022 17:00,0
23/01/2022 17:00,23/01/2022 18:00,20
23/01/2022 18:00,23/01/2022 19:00,0
23/01/2022 19:00,23/01/2022 20:00,0
23/01/2022 20:00,23/01/2022 21:00,0
23/01/2022 21:00,23/01/2022 22:00,0
23/01/2022 22:00,23/01/2022 23:00,0
23/01/2022 23:00,24/01/2022 0:00,0
24/01/2022 0:00,24/01/2022 1:00,0
24/01/2022 1:00,24/01/2022 2:00,0
24/01/2022 2:00,24/01/2022 3:00,0
24/01/2022 3:00,24/01/2022 4:00,0
24/01/2022 4:00,24/01/2022 5:00,0
24/01/2022 5:00,24/01/2022 6:00,0
24/01/2022 6:00,24/01/2022 7:00,0
24/01/2022 7:00,24/01/2022 8:00,0
24/01/2022 8:00,24/01/2022 9:00,0
24/01/2022 9:00,24/01/2022 10:00,0
24/01/2022 10:00,24/01/2022 11:00,0
24/01/2022 11:00,24/01/2022 12:00,8
24/01/2022 12:00,24/01/2022 13:00,11
24/01/2022 13:00,24/01/2022 14:00,0
24/01/2022 14:00,24/01/2022 15:00,0
24/01/2022 15:00,24/01/2022 16:00,0
24/01/2022 16:00,24/01/2022 17:00,0
24/01/2022 17:00,24/01/2022 18:00,565.7689588
24/01/2022 18:00,24/01/2022 19:00,184.2310412
24/01/2022 19:00,24/01/2022 20:00,0
24/01/2022 20:00,24/01/2022 21:00,0
24/01/2022 21:00,24/01/2022 22:00,0
