Source,Date,Hour,Count
P2’s Apple Watch,2022-08-25,11,18
P2 Phone,2022-08-25,12,29
P2’s Apple Watch,2022-08-25,12,30
P2’s Apple Watch,2022-08-25,12,29
P2’s Apple Watch,2022-08-25,12,41
P2’s Apple Watch,2022-08-25,12,40
P2’s Apple Watch,2022-08-25,12,54
P2’s Apple Watch,2022-08-25,12,12
P2’s Apple Watch,2022-08-25,12,7
P2’s Apple Watch,2022-08-25,12,41
P2’s Apple Watch,2022-08-25,12,46
P2’s Apple Watch,2022-08-25,12,21
P2’s Apple Watch,2022-08-25,12,22
P2’s Apple Watch,2022-08-25,12,47
P2’s Apple Watch,2022-08-25,12,28
P2’s Apple Watch,2022-08-25,12,39
P2’s Apple Watch,2022-08-25,12,171
P2’s Apple Watch,2022-08-25,13,12
P2 Phone,2022-08-25,12,113
P2 Phone,2022-08-25,12,161
P2 Phone,2022-08-25,12,41
P2 Phone,2022-08-25,13,20
P2’s Apple Watch,2022-08-25,13,14
P2’s Apple Watch,2022-08-25,13,8
P2’s Apple Watch,2022-08-25,13,11
P2’s Apple Watch,2022-08-25,13,18
P2’s Apple Watch,2022-08-25,13,8
P2’s Apple Watch,2022-08-25,13,32
P2’s Apple Watch,2022-08-25,13,19
P2 Phone,2022-08-25,13,116
P2 Phone,2022-08-25,13,67
